+--------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------+
| collector                                              | url                                                                                                                                                        |
+--------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------+
| abilene/ATLA                                           | http://ndb7.net.internet2.edu/bgp/RIBS/ATLA/<YYYY>/<MM>/<DD>/rib.<YYYY><MM><DD>.<HH><mm>.gz                                                                |
| abilene/ATLA                                           | http://ndb7.net.internet2.edu/bgp/UPDATES/ATLA/<YYYY>/<MM>/<DD>/updates.<YYYY><MM><DD>.<HH><mm>.gz                                                         |
| abilene/CHIC                                           | http://ndb7.net.internet2.edu/bgp/RIBS/CHIC/<YYYY>/<MM>/<DD>/rib.<YYYY><MM><DD>.<HH><mm>.gz                                                                |
| abilene/CHIC                                           | http://ndb7.net.internet2.edu/bgp/UPDATES/CHIC/<YYYY>/<MM>/<DD>/updates.<YYYY><MM><DD>.<HH><mm>.gz                                                         |
| abilene/HOUS                                           | http://ndb7.net.internet2.edu/bgp/UPDATES/HOUS/<YYYY>/<MM>/<DD>/updates.<YYYY><MM><DD>.<HH><mm>.gz                                                         |
| abilene/HOUS                                           | http://ndb7.net.internet2.edu/bgp/RIBS/HOUS/<YYYY>/<MM>/<DD>/rib.<YYYY><MM><DD>.<HH><mm>.gz                                                                |
| abilene/KANS                                           | http://ndb7.net.internet2.edu/bgp/UPDATES/KANS/<YYYY>/<MM>/<DD>/updates.<YYYY><MM><DD>.<HH><mm>.gz                                                         |
| abilene/KANS                                           | http://ndb7.net.internet2.edu/bgp/RIBS/KANS/<YYYY>/<MM>/<DD>/rib.<YYYY><MM><DD>.<HH><mm>.gz                                                                |
| abilene/LOSA                                           | http://ndb7.net.internet2.edu/bgp/RIBS/LOSA/<YYYY>/<MM>/<DD>/rib.<YYYY><MM><DD>.<HH><mm>.gz                                                                |
| abilene/LOSA                                           | http://ndb7.net.internet2.edu/bgp/UPDATES/LOSA/<YYYY>/<MM>/<DD>/updates.<YYYY><MM><DD>.<HH><mm>.gz                                                         |
| abilene/NEWY                                           | http://ndb7.net.internet2.edu/bgp/RIBS/NEWY/<YYYY>/<MM>/<DD>/rib.<YYYY><MM><DD>.<HH><mm>.gz                                                                |
| abilene/NEWY                                           | http://ndb7.net.internet2.edu/bgp/UPDATES/NEWY/<YYYY>/<MM>/<DD>/updates.<YYYY><MM><DD>.<HH><mm>.gz                                                         |
| abilene/SALT                                           | http://ndb7.net.internet2.edu/bgp/UPDATES/SALT/<YYYY>/<MM>/<DD>/updates.<YYYY><MM><DD>.<HH><mm>.gz                                                         |
| abilene/SALT                                           | http://ndb7.net.internet2.edu/bgp/RIBS/SALT/<YYYY>/<MM>/<DD>/rib.<YYYY><MM><DD>.<HH><mm>.gz                                                                |
| abilene/SEAT                                           | http://ndb7.net.internet2.edu/bgp/RIBS/SEAT/<YYYY>/<MM>/<DD>/rib.<YYYY><MM><DD>.<HH><mm>.gz                                                                |
| abilene/SEAT                                           | http://ndb7.net.internet2.edu/bgp/UPDATES/SEAT/<YYYY>/<MM>/<DD>/updates.<YYYY><MM><DD>.<HH><mm>.gz                                                         |
| abilene/WASH                                           | http://ndb7.net.internet2.edu/bgp/RIBS/WASH/<YYYY>/<MM>/<DD>/rib.<YYYY><MM><DD>.<HH><mm>.gz                                                                |
| abilene/WASH                                           | http://ndb7.net.internet2.edu/bgp/UPDATES/WASH/<YYYY>/<MM>/<DD>/updates.<YYYY><MM><DD>.<HH><mm>.gz                                                         |
| ripe/rrc00                                             | http://data.ris.ripe.net/rrc00/<YYYY>.<MM>/bview.<YYYY><MM><DD>.<HH><mm>.gz                                                                                |
| ripe/rrc00                                             | http://data.ris.ripe.net/rrc00/<YYYY>.<MM>/updates.<YYYY><MM><DD>.<HH><mm>.gz                                                                              |
| ripe/rrc01                                             | http://data.ris.ripe.net/rrc01/<YYYY>.<MM>/bview.<YYYY><MM><DD>.<HH><mm>.gz                                                                                |
| ripe/rrc01                                             | http://data.ris.ripe.net/rrc01/<YYYY>.<MM>/updates.<YYYY><MM><DD>.<HH><mm>.gz                                                                              |
| ripe/rrc02                                             | http://data.ris.ripe.net/rrc02/<YYYY>.<MM>/updates.<YYYY><MM><DD>.<HH><mm>.gz                                                                              |
| ripe/rrc02                                             | http://data.ris.ripe.net/rrc02/<YYYY>.<MM>/bview.<YYYY><MM><DD>.<HH><mm>.gz                                                                                |
| ripe/rrc03                                             | http://data.ris.ripe.net/rrc03/<YYYY>.<MM>/updates.<YYYY><MM><DD>.<HH><mm>.gz                                                                              |
| ripe/rrc03                                             | http://data.ris.ripe.net/rrc03/<YYYY>.<MM>/bview.<YYYY><MM><DD>.<HH><mm>.gz                                                                                |
| ripe/rrc04                                             | http://data.ris.ripe.net/rrc04/<YYYY>.<MM>/bview.<YYYY><MM><DD>.<HH><mm>.gz                                                                                |
| ripe/rrc04                                             | http://data.ris.ripe.net/rrc04/<YYYY>.<MM>/updates.<YYYY><MM><DD>.<HH><mm>.gz                                                                              |
| ripe/rrc05                                             | http://data.ris.ripe.net/rrc05/<YYYY>.<MM>/bview.<YYYY><MM><DD>.<HH><mm>.gz                                                                                |
| ripe/rrc05                                             | http://data.ris.ripe.net/rrc05/<YYYY>.<MM>/updates.<YYYY><MM><DD>.<HH><mm>.gz                                                                              |
| ripe/rrc06                                             | http://data.ris.ripe.net/rrc06/<YYYY>.<MM>/bview.<YYYY><MM><DD>.<HH><mm>.gz                                                                                |
| ripe/rrc06                                             | http://data.ris.ripe.net/rrc06/<YYYY>.<MM>/updates.<YYYY><MM><DD>.<HH><mm>.gz                                                                              |
| ripe/rrc07                                             | http://data.ris.ripe.net/rrc07/<YYYY>.<MM>/updates.<YYYY><MM><DD>.<HH><mm>.gz                                                                              |
| ripe/rrc07                                             | http://data.ris.ripe.net/rrc07/<YYYY>.<MM>/bview.<YYYY><MM><DD>.<HH><mm>.gz                                                                                |
| ripe/rrc08                                             | http://data.ris.ripe.net/rrc08/<YYYY>.<MM>/updates.<YYYY><MM><DD>.<HH><mm>.gz                                                                              |
| ripe/rrc08                                             | http://data.ris.ripe.net/rrc08/<YYYY>.<MM>/bview.<YYYY><MM><DD>.<HH><mm>.gz                                                                                |
| ripe/rrc09                                             | http://data.ris.ripe.net/rrc09/<YYYY>.<MM>/bview.<YYYY><MM><DD>.<HH><mm>.gz                                                                                |
| ripe/rrc09                                             | http://data.ris.ripe.net/rrc09/<YYYY>.<MM>/updates.<YYYY><MM><DD>.<HH><mm>.gz                                                                              |
| ripe/rrc10                                             | http://data.ris.ripe.net/rrc10/<YYYY>.<MM>/updates.<YYYY><MM><DD>.<HH><mm>.gz                                                                              |
| ripe/rrc10                                             | http://data.ris.ripe.net/rrc10/<YYYY>.<MM>/bview.<YYYY><MM><DD>.<HH><mm>.gz                                                                                |
| ripe/rrc11                                             | http://data.ris.ripe.net/rrc11/<YYYY>.<MM>/bview.<YYYY><MM><DD>.<HH><mm>.gz                                                                                |
| ripe/rrc11                                             | http://data.ris.ripe.net/rrc11/<YYYY>.<MM>/updates.<YYYY><MM><DD>.<HH><mm>.gz                                                                              |
| ripe/rrc12                                             | http://data.ris.ripe.net/rrc12/<YYYY>.<MM>/updates.<YYYY><MM><DD>.<HH><mm>.gz                                                                              |
